Country Name,Country Code,2018
Aruba,ABW,180
Afghanistan,AFG,652860
Angola,AGO,1246700
Albania,ALB,28750
Andorra,AND,470
Arab World,ARB,11273300.9922791
United Arab Emirates,ARE,83600
Argentina,ARG,2780400
Armenia,ARM,29740
American Samoa,ASM,200
Antigua and Barbuda,ATG,440
Australia,AUS,7741220
Austria,AUT,83879.00390625
Azerbaijan,AZE,86600
Burundi,BDI,27830
Belgium,BEL,30530
Benin,BEN,114760
Burkina Faso,BFA,274220
Bangladesh,BGD,147630
Bulgaria,BGR,111000
Bahrain,BHR,778.000030517578
"Bahamas, The",BHS,13880
Bosnia and Herzegovina,BIH,51210
Belarus,BLR,207600
Belize,BLZ,22970
Bermuda,BMU,4290
Bolivia,BOL,1098580
Brazil,BRA,8515770
Barbados,BRB,430
Brunei Darussalam,BRN,5770
Bhutan,BTN,38393.9990234375
Botswana,BWA,581730
Central African Republic,CAF,622980
Canada,CAN,9984670
Central Europe and the Baltics,CEB,1135391.00097656
Switzerland,CHE,41290.400390625
Channel Islands,CHI,197.999992370605
Chile,CHL,756700
China,CHN,9562910
Cote d'Ivoire,CIV,322460
Cameroon,CMR,475440
"Congo, Dem. Rep.",COD,2344860
"Congo, Rep.",COG,342000
Colombia,COL,1141748.984375
Comoros,COM,1861.00006103516
Cabo Verde,CPV,4030
Costa Rica,CRI,51100
Caribbean small states,CSS,434990
Cuba,CUB,109880
Curacao,CUW,
Cayman Islands,CYM,260
Cyprus,CYP,9250
Czech Republic,CZE,78870
Germany,DEU,357580
Djibouti,DJI,23200
Dominica,DMA,750
Denmark,DNK,42920
Dominican Republic,DOM,48670
Algeria,DZA,2381740
East Asia & Pacific (excluding high income),EAP,16272875
Early-demographic dividend,EAR,34108218.0537415
East Asia & Pacific,EAS,24827743.4039211
Europe & Central Asia (excluding high income),ECA,23473611.875
Europe & Central Asia,ECS,28691030.9775925
Ecuador,ECU,256370
"Egypt, Arab Rep.",EGY,1001450
Euro area,EMU,2759787.59277344
Eritrea,ERI,117600
Spain,ESP,505935
Estonia,EST,45340
Ethiopia,ETH,1104300
European Union,EUU,4384317.59277344
Fragile and conflict affected situations,FCS,13147112.9922485
Finland,FIN,338450
Fiji,FJI,18270
France,FRA,549086.9921875
Faroe Islands,FRO,1396.00006103516
"Micronesia, Fed. Sts.",FSM,700
Gabon,GAB,267670
United Kingdom,GBR,243610
Georgia,GEO,69700
Ghana,GHA,238540
Gibraltar,GIB,10
Guinea,GIN,245860
"Gambia, The",GMB,11300
Guinea-Bissau,GNB,36130
Equatorial Guinea,GNQ,28050
Greece,GRC,131960
Grenada,GRD,340
Greenland,GRL,410450
Guatemala,GTM,108890
Guam,GUM,540
Guyana,GUY,214970
High income,HIC,37227845.5065441
"Hong Kong SAR, China",HKG,1110
Honduras,HND,112490
Heavily indebted poor countries (HIPC),HPC,17874796.000061
Croatia,HRV,56590
Haiti,HTI,27750
Hungary,HUN,93030
IBRD only,IBD,71348003.90625
IDA & IBRD total,IBT,95945073.9053345
IDA total,IDA,24597069.9990845
IDA blend,IDB,6055920
Indonesia,IDN,1913580
IDA only,IDX,18541149.9990845
Isle of Man,IMN,570
India,IND,3287259.0625
Not classified,INX,
Ireland,IRL,70280
"Iran, Islamic Rep.",IRN,1745150
Iraq,IRQ,435051.9921875
Iceland,ISL,103000
Israel,ISR,22070
Italy,ITA,301340
Jamaica,JAM,10990
Jordan,JOR,89320
Japan,JPN,377970
Kazakhstan,KAZ,2724901.875
Kenya,KEN,580370
Kyrgyz Republic,KGZ,199950
Cambodia,KHM,181040
Kiribati,KIR,810
St. Kitts and Nevis,KNA,260
"Korea, Rep.",KOR,100339.00390625
Kuwait,KWT,17820
Latin America & Caribbean (excluding high income),LAC,19386305.9765625
Lao PDR,LAO,236800
Lebanon,LBN,10450
Liberia,LBR,111370
Libya,LBY,1759540
St. Lucia,LCA,620
Latin America & Caribbean,LCN,20425545.9765625
Least developed countries: UN classification,LDC,18252609.9990845
Low income,LIC,14079355
