code	name	lat	lng
SS-BN	Northern Bahr al Ghazal	8.927	27.237
AD-07	Andorra la Vella	42.508	1.522
AE-AZ	Abū Ȥaby [Abu Dhabi]	24.467	54.367
AE-AJ	'Ajmān	25.399	55.48
AE-FU	Al Fujayrah	25.132	56.326
AE-SH	Ash Shāriqah	25.286	55.37
AE-DU	Dubayy	25.264	55.312
AE-RK	Ra’s al Khaymah	25.693	55.964
AE-UQ	Umm al Qaywayn	25.584	55.564
AF-GHA	Ghaznī	33.53	68.364
AF-KAN	Kandahār	31.603	65.762
AF-LOW	Lowgar	33.983	69.041
AF-NAN	Nangrahār [Nangarhār]	34.369	70.475
AF-WAR	Wardak [Wardag]	34.348	68.348
AL-01	Berat	40.7	19.95
AL-09	Dibër	41.617	20.236
AL-02	Durrës	41.317	19.45
AL-03	Elbasan	41.117	20.093
AL-05	Gjirokastër	40.079	20.149
AL-06	Korçë	40.618	20.79
AL-07	Kukës	42.084	20.42
AL-08	Lezhë	41.788	19.654
AL-10	Shkodër	42.074	19.528
AL-11	Tiranë	41.33	19.82
AL-12	Vlorë	40.472	19.49
AM-ER	Erevan	40.183	44.517
AM-AG	Aragacotn	40.418	44.133
AM-GR	Gegarkunik'	40.25	45.146
AM-KT	Kotayk'	40.275	44.661
AM-LO	Lory	40.97	44.524
AM-SU	Syunik'	39.589	46.237
AM-TV	Tavus	40.898	45.148
AR-W	Corrientes	-27.471	-58.84
AR-E	Entre Rios	-32.518	-59.104
AR-A	Salta	-24.783	-65.412
AR-T	Tucuman	-26.808	-65.218
AT-1	Burgenland	47.906	17.184
AT-2	Kärnten	46.628	14.309
AT-3	Niederösterreich	48.19	16.4
AT-4	Oberösterreich	48.308	14.3
AT-6	Steiermark	46.689	15.08
AT-7	Tirol	47.703	15.536
AT-9	Wien	48.208	16.374
AU-NSW	New South Wales	-31.253	146.921
AU-QLD	Queensland	-20.918	142.703
AU-SA	South Australia	-30.0	136.209
AU-TAS	Tasmania	-41.365	146.628
AU-VIC	Victoria	-37.471	144.785
AU-WA	Western Australia	-27.673	121.628
AZ-NX	Naxçıvan	39.209	45.412
AZ-BA	Bakı	40.395	49.882
AZ-GA	Gəncə	40.683	46.361
AZ-XA	Xankəndi	39.842	46.759
AZ-AGM	Ağdam	39.993	46.931
AZ-ISM	İsmayıllı	40.787	48.165
AZ-KAL	Kəlbəcər	40.107	46.038
AZ-LAN	Lənkəran	38.754	48.851
AZ-LER	Lerik	38.775	48.415
AZ-OGU	Oğuz	41.071	47.458
AZ-QAB	Qəbələ	40.981	47.846
AZ-QBA	Quba	41.36	48.513
AZ-QUS	Qusar	41.426	48.436
AZ-SUS	Şuşa	39.754	46.746
AZ-ZAN	Zəngilan	39.081	46.664
AZ-ZAQ	Zaqatala	41.634	46.643
BA-BIH	Federacija Bosne i Hercegovine	43.916	17.679
BA-SRP	Republika Srpska	44.774	17.201
BA-BRC	Brčko distrikt	44.87	18.81
BB-08	Saint Michael	13.098	-59.612
BB-09	Saint Peter	13.251	-59.644
BB-10	Saint Philip	13.117	-59.476
BD-06	Barisal zila	22.7	90.367
BD-55	Rangpur zila	25.757	89.243
BE-VAN	Antwerpen	51.22	4.396
BE-BRU	Brussels-Capital Region	50.85	4.352
BE-WHT	Hainaut	50.48	4.358
BE-WLG	Liege	50.633	5.567
BE-VLI	Limburg	50.974	5.342
BE-WLX	Luxembourg	50.055	5.468
BE-WNA	Namur	50.465	4.868
BE-VOV	Oost-Vlaanderen	51.023	3.622
BE-VBR	Vlaams-Brabant	50.877	4.717
BE-VWV	West-Vlaanderen	51.301	3.153
BG-01	Blagoevgrad	42.022	23.095
BG-02	Burgas	42.498	27.47
BG-08	Dobrich	43.569	27.827
BG-07	Gabrovo	42.874	25.319
BG-26	Haskovo	41.931	25.557
BG-09	Kardzhali	41.643	25.369
BG-10	Kyustendil	42.281	22.688
BG-11	Lovech	43.135	24.717
BG-12	Montana	43.409	23.226
BG-13	Pazardzhik	42.191	24.332
BG-14	Pernik	42.613	23.046
BG-15	Pleven	43.408	24.62
BG-16	Plovdiv	42.144	24.75
BG-17	Razgrad	43.525	26.523
BG-18	Ruse	43.849	25.954
BG-19	Silistra	44.117	27.261
BG-20	Sliven	42.682	26.316
BG-21	Smolyan	41.575	24.711
BG-23	Sofia	42.617	23.373
BG-22	Sofia-Grad	42.698	23.322
BG-24	Stara Zagora	42.424	25.625
BG-03	Varna	43.217	27.912
BG-04	Veliko Tarnovo	43.079	25.627
BG-05	Vidin	43.993	22.876
BG-06	Vratsa	43.204	23.549
BH-13	Al Manāmah (Al ‘Āşimah)	26.207	50.538
BH-14	Al Janūbīyah	36.822	10.186
BH-15	Al Muḩarraq	26.25	50.617
BH-16	Al Wusţá	24.61	46.634
BH-17	Ash Shamālīyah	26.294	50.218
BR-BA	Bahia	-11.41	-41.281
BR-CE	Ceará	-5.498	-39.321
BR-ES	Espírito Santo	-19.183	-40.309
BR-MA	Maranhão	-2.517	-44.267
BR-MG	Minas Gerais	-18.862	-48.267
BR-PA	Pará	-6.207	-52.703
