code	name	lat	lng
AFG	Afghanistan	33.939	67.71
ALB	Albania	41.153	20.168
DZA	Algeria	36.753	3.042
AND	Andorra	42.508	1.522
AGO	Angola	-11.203	17.874
ATG	Antigua and Barbuda	17.061	-61.796
ARG	Argentina	-38.416	-63.617
ARM	Armenia	40.069	45.038
AUS	Australia	-25.274	133.775
AUT	Austria	47.516	14.55
AZE	Azerbaijan	40.143	47.577
BHS	Bahamas	25.034	-77.396
BHR	Bahrain	25.93	50.638
BGD	Bangladesh	23.685	90.356
BRB	Barbados	13.194	-59.543
BLR	Belarus	53.71	27.953
BEL	Belgium	50.504	4.47
BLZ	Belize	17.498	-88.187
BEN	Benin	9.308	2.316
BMU	Bermuda	32.305	-64.755
BTN	Bhutan	27.514	90.434
BOL	Bolivia	-16.29	-63.589
BIH	Bosnia and Herzegovina	43.916	17.679
BWA	Botswana	-22.328	24.685
BRA	Brazil	-14.235	-51.925
BRN	Brunei	4.535	114.728
BGR	Bulgaria	42.734	25.486
BFA	Burkina Faso	12.238	-1.562
BDI	Burundi	-3.373	29.919
KHM	Cambodia	12.566	104.991
CMR	Cameroon	7.37	12.355
CAN	Canada	56.13	-106.347
CPV	Cape Verde	16.002	-24.013
CAF	Central African Republic	6.611	20.939
TCD	Chad	15.454	18.732
CHL	Chile	-35.675	-71.543
CHN	China	35.862	104.195
COL	Colombia	4.571	-74.297
COM	Comoros	-11.875	43.872
COG	Congo	-0.228	15.828
COD	Congo, the Democratic Republic of the	-4.31	15.372
CRI	Costa Rica	9.749	-83.753
CIV	Ivory Coast	7.54	-5.547
HRV	Croatia	45.1	15.2
CUB	Cuba	21.522	-77.781
CYP	Cyprus	35.126	33.43
CZE	Czech Republic	49.817	15.473
DNK	Denmark	56.264	9.502
DJI	Djibouti	11.588	43.145
DMA	Dominica	15.415	-61.371
DOM	Dominican Republic	18.736	-70.163
ECU	Ecuador	-1.831	-78.183
EGY	Egypt	26.821	30.802
SLV	El Salvador	13.794	-88.897
GNQ	Equatorial Guinea	1.651	10.268
ERI	Eritrea	15.179	39.782
EST	Estonia	58.595	25.014
ETH	Ethiopia	9.145	40.49
FJI	Fiji	-17.713	178.065
FIN	Finland	61.924	25.748
FRA	France	46.228	2.214
PYF	French Polynesia	-17.564	-149.501
GAB	Gabon	-0.804	11.609
GMB	Gambia	13.443	-15.31
GEO	Georgia	42.315	43.357
DEU	Germany	51.166	10.452
GHA	Ghana	7.947	-1.023
GRC	Greece	39.074	21.824
GRD	Grenada	12.263	-61.604
GTM	Guatemala	14.613	-90.535
GGY	Guernsey	49.448	-2.589
GIN	Guinea	9.946	-9.697
GNB	Guinea-Bissau	11.804	-15.18
GUY	Guyana	4.86	-58.93
HTI	Haiti	18.971	-72.285
HND	Honduras	15.2	-86.242
HUN	Hungary	47.162	19.503
ISL	Iceland	64.963	-19.021
IND	India	20.594	78.963
IDN	Indonesia	-0.789	113.921
IRN	Iran	32.428	53.688
IRQ	Iraq	33.223	43.679
IRL	Ireland	53.413	-8.244
IMN	Isle of Man	54.239	-4.562
ISR	Israel	31.046	34.852
ITA	Italy	41.872	12.567
JAM	Jamaica	18.11	-77.298
JPN	Japan	36.205	138.253
JEY	Jersey	49.214	-2.131
JOR	Jordan	30.585	36.238
KAZ	Kazakhstan	48.02	66.924
KEN	Kenya	-0.024	37.906
KIR	Kiribati	-3.37	-168.734
PRK	Korea, Democratic People's Republic of	40.34	127.51
KOR	South Korea	35.908	127.767
KWT	Kuwait	29.37	47.978
KGZ	Kyrgyzstan	41.204	74.766
LAO	Lao People's Democratic Republic	19.856	102.495
LVA	Latvia	56.88	24.603
LBN	Lebanon	33.855	35.862
LSO	Lesotho	-29.61	28.234
LBR	Liberia	6.428	-9.429
LBY	Libya	26.335	17.228
LIE	Liechtenstein	47.166	9.555
LTU	Lithuania	55.169	23.881
LUX	Luxembourg	49.61	6.13
MAC	Macao	22.199	113.544
MKD	Macedonia, the former Yugoslav Republic of	41.609	21.745
MDG	Madagascar	-18.767	46.869
MWI	Malawi	-13.254	34.302
MYS	Malaysia	4.21	101.976
MDV	Maldives	3.203	73.221
MLI	Mali	17.571	-3.996
MLT	Malta	35.894	14.445
MHL	Marshall Islands	7.131	171.184
MRT	Mauritania	21.008	-10.941
MUS	Mauritius	-20.348	57.552
MEX	Mexico	19.497	-99.723
FSM	Micronesia, Federated States of	7.426	150.551
MDA	Moldova, Republic of	47.412	28.37
MNG	Mongolia	46.862	103.847
MNE	Montenegro	42.709	19.374
MAR	Morocco	31.792	-7.093
MOZ	Mozambique	-18.666	35.53
MMR	Burma	21.914	95.956
NAM	Namibia	-22.958	18.49
NRU	Nauru	-0.523	166.932
NPL	Nepal	28.395	84.124
NLD	Netherlands	52.133	5.291
NZL	New Zealand	-40.901	174.886
NIC	Nicaragua	12.865	-85.207
NER	Niger	13.513	2.113
NGA	Nigeria	9.082	8.675
NOR	Norway	60.472	8.469
OMN	Oman	20.517	56.89
PAK	Pakistan	30.375	69.345
PLW	Palau	7.515	134.583
PSE	Palestinian Territory, Occupied	31.908	35.303
PAN	Panama	8.994	-79.519
PNG	Papua New Guinea	-6.315	143.956
PRY	Paraguay	-23.443	-58.444
PER	Peru	-9.19	-75.015
PHL	Philippines	12.88	121.774
POL	Poland	51.919	19.145
PRT	Portugal	39.4	-8.224
PRI	Puerto Rico	31.75	-106.488
QAT	Qatar	25.355	51.184
ROU	Romania	45.943	24.967
RUS	Russia	55.767	37.854
RWA	Rwanda	-1.94	29.874
KNA	Saint Kitts and Nevis	17.358	-62.783
VCT	St. Vincent and the Grenadines	12.984	-61.287
WSM	Samoa	-13.759	-172.105
SMR	San Marino	43.942	12.445
STP	Sao Tome and Principe	0.186	6.613
SAU	Saudi Arabia	23.886	45.079
SEN	Senegal	14.497	-14.452
SRB	Serbia	44.017	21.006
SYC	Seychelles	-4.68	55.492
SLE	Sierra Leone	8.461	-11.78
SGP	Singapore	1.289	103.85
SVK	Slovakia	48.669	19.699
SVN	Slovenia	46.151	14.995
SLB	Solomon Islands	-9.646	160.156
SOM	Somalia	5.152	46.2
ZAF	South Africa	-30.559	22.938
ESP	Spain	40.464	-3.749
LKA	Sri Lanka	7.873	80.772
SDN	Sudan	12.863	30.218
SUR	Suriname	3.919	-56.028
SWZ	Swaziland	-26.523	31.466
SWE	Sweden	60.128	18.644
CHE	Switzerland	46.818	8.228
SYR	Syrian Arab Republic	34.802	38.997
TWN	Taiwan	23.698	120.961
TJK	Tajikistan	38.861	71.276
TZA	Tanzania, United Republic of	-6.369	34.889
THA	Thailand	15.87	100.993
TLS	Timor-Leste	-8.874	125.728
TGO	Togo	8.62	0.825
TON	Tonga	-21.179	-175.198
TTO	Trinidad & Tobago	10.692	-61.223
TUN	Tunisia	36.819	10.166
TUR	Turkey	38.964	35.243
TKM	Turkmenistan	38.97	59.556
TUV	Tuvalu	-7.11	177.649
UGA	Uganda	1.373	32.29
UKR	Ukraine	49.308	31.186
UAE	United Arab Emirates	23.972	54.518
GBR	United Kingdom	55.378	-3.436
USA	United States	37.09	-95.713
URY	Uruguay	-32.523	-55.766
UZB	Uzbekistan	41.377	64.585
VUT	Vanuatu	-15.377	166.959
VEN	Venezuela	6.424	-66.59
VNM	Vietnam	14.058	108.277
YEM	Yemen	15.553	48.516
ZMB	Zambia	-13.134	27.849
ZWE	Zimbabwe	-19.015	29.155
ENG	England	52.561	-1.47
SCT	Scotland	56.491	-4.203
WLS	Wales	51.512	-3.281
TURK	TURK	38.97	59.556
ARAB	ARAB	23.886	45.079
MSR	Monstserrrat	16.736	-62.192
ESH	Western Sahara	25.048	-13.383
MCO	Monaco	43.74	7.425
NFK	Norfolk Island	-29.035	167.957
SS	South Sudan	7.142	30.338
YRI	Yoruba in Ibadan Nigeria	7.393	3.904
GIB	Gibraltar	36.139	-5.353
KHANT	Khanty-Mansi	61.916	70.327
KHV	Kinh Ho Chi Minh City	10.775	106.7
ALA	Aland Islands	60.232	19.985
CHB	Han Chinese Beijing	39.91	116.393
CHS	Han Chinese South	22.376	110.591
CDX	Chinese Dai in Xishuangbanna	21.976	100.811
BM	Bermuda	32.305	-64.755
ASW	African SW US	33.91	-112.575
FRO	Faroe Islands	62.026	-6.851
MSL	Mende Sierra Leone	7.774	-11.41
GWD	Western Division The Gambia	13.222	-16.319
LWK	Luhya in Webuye Kenya	0.598	34.778
CEU	NW Europe	51.231	4.385
ESN	Esan in Nigeria	6.751	6.291
ANT	Netherlands Antilles	12.13	-68.905
HKG	Hong Kong	22.339	114.174
ASM	American Samoa	-14.285	-170.71
